State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),IUD/PPIUD (%),Pill (%),Condom (%),Injectables (%),Total unmet need7 (%),Unmet need for spacing7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),State_Type
Telangana,Wanaparthy,49.3,987,37,4.6,77.3,75.7,74.4,0,0.2,0.3,0.3,0,3.6,2.1,22.3,36.6,100,87.6,99,40.4,15.1,33.2,4.9,Rest of India
Telangana,Warangal Rural,51.8,698,40,1.8,60,57.5,47,8.7,0,0.8,0.3,0.3,9.4,2.4,16.3,53.5,98.7,93.8,100,36.1,19,37.9,2.4,Rest of India
Telangana,Warangal Urban,70.3,829,57.2,1.3,67.7,64.4,50.1,11.2,0.4,0.7,1.2,0,8.9,3.2,27.8,49.4,96.4,92.6,99.7,29.5,29.5,36,4.4,Rest of India
Telangana,Yadadri Bhuvanagiri,59.1,954,48,3,76.2,75,72.3,0.2,0.3,0,0.7,0.2,5,2,20.6,58.5,97.9,93.2,97.7,38.3,10.3,27.2,5.5,Rest of India
Tripura,Dhalai,74.8,1160,13.9,0.3,80.9,53.3,8.6,0,0.3,39,2.3,0.1,4,1.8,3.9,50.8,90.7,72.4,87.3,45.7,15.9,27.6,13.1,Rest of India
Tripura,Gomati,80.1,1043,22.8,0,65.5,48.7,8.6,0.1,0,37.1,2.2,0,12.1,3.7,13.1,40.2,91.1,66.3,93.2,22.7,27.6,29,3.4,Rest of India
Tripura,Khowai,81.3,959,18.9,0,79.9,49.9,9.5,0,0.2,36.2,1.8,0,4.1,2.2,8.7,34.7,97.7,59.7,95.7,47,16.6,24.7,8.1,Rest of India
Tripura,North Tripura,86.4,913,23.7,0.6,78.3,54.4,10.9,0.1,1.1,35.3,4.6,0,6.1,2.5,13.5,62.2,93.8,76.6,85.4,26.2,30,32.2,9,Rest of India
Tripura,Sepahijala,78.9,930,21.7,0.5,58.9,44.2,10.9,0,0.8,26.3,2.7,0.7,15.3,3.9,9.8,39.6,93,72.1,87.7,34.5,14.9,21,12.4,Rest of India
Tripura,South Tripura,80.4,1136,21.6,0.9,50.7,40.3,4.6,0,0.4,27.9,4,0.8,17.3,3.7,13,28.3,84.6,68,89.7,25.5,15.3,21.6,5,Rest of India
Tripura,Unakoti,81.6,1036,18.7,0.4,66.8,40.2,6.2,0.1,0.6,29.6,1.4,0.4,9.7,3.7,5.4,21.9,89.4,44.5,71.5,31.8,19.3,32,1.9,Rest of India
Tripura,West Tripura,85.3,1048,30.9,0,80.1,53.9,15.6,0,0.2,32.5,4.6,0.2,2.5,0.9,9.4,42.1,98.1,87.7,95.3,30.3,11.7,21.2,8.7,Rest of India
Uttarakhand,Almora,72.3,1444,48,2.3,78.6,70.5,37.9,1.8,1.6,4.8,22.1,0.5,6.4,2.6,13.4,68.9,99.4,78.1,80.1,26,17,22.9,4.4,Rest of India
Uttarakhand,Bageshwar,73.9,940,52.2,0.7,78.8,66.4,33.4,4.2,1.5,2.6,23.1,0.4,8.4,2.9,17.3,58.2,99.4,78.1,82,23.6,7.7,11.9,3.5,Rest of India
Uttarakhand,Chamoli,79.1,1026,59,1.4,73.7,64,49,1.2,0.4,1.4,10.8,0.1,9.3,3.6,21.8,70.5,100,72.1,73.9,34.1,16.2,21.6,7.5,Rest of India
Uttarakhand,Champawat,75.9,926,51,0.8,66.7,57.7,38,0.1,0.6,1.7,16.6,0.1,10.4,3.5,28.1,73.9,100,80.8,79.8,24.9,12.4,15.3,4.7,Rest of India
Uttarakhand,Dehradun,82.9,823,62.6,1,75,59.1,19.2,0.5,1.9,2.8,32.8,1,6.5,2.8,27.7,66.4,98,82.4,91.7,20.9,10.1,19.1,3.8,Rest of India
Uttarakhand,Hardwar,73.9,985,40.3,3.9,63.6,50.9,12.8,0.1,1.7,3.8,30.6,0.5,11.8,4.1,11.4,52.2,93.2,74.2,79.8,31.1,16.4,27,4,Rest of India
Uttarakhand,Nainital,80.3,1136,55.2,1.4,74.7,64.4,26.7,1.1,1.8,3.8,29.7,0.1,6.5,2,15.1,59.7,97.8,75.9,81.2,23.2,14,14.8,7.5,Rest of India
Uttarakhand,Pauri Garhwal,75.5,1065,56.2,2.6,78,64,33.9,0.6,1.5,3.5,22.1,0.6,9.9,3.2,9.4,27.6,96.8,64,76,30,12,18.8,4.7,Rest of India
Uttarakhand,Pithoragarh,79.7,911,55.5,1.2,71.2,63.6,42.5,0.7,2.3,0.5,16.9,0.5,11.3,4.5,28.3,59,97.4,82,84.9,25.6,12.4,20.6,4.4,Rest of India
Uttarakhand,Rudraprayag,73,958,56.4,1.7,72.1,61.3,47.6,0.9,1.2,0.4,10.8,0,12.2,4.5,26.7,74.7,99.7,83.6,86.6,25.2,8,10.9,4.2,Rest of India
Uttarakhand,Tehri Garhwal,62.2,866,50.8,1.8,67.3,52.4,36.5,0,1.1,1.1,12.5,0,13.8,5.6,20.4,65.4,93.8,78.5,82.2,29.3,12.8,20.7,2.2,Rest of India
Uttarakhand,Udham Singh Nagar,70.5,1022,41.1,2.1,67.2,51.9,19.6,0.2,1.1,1.7,28.4,0,7.2,2.1,22.8,68.3,98.5,82,85.1,26.8,12.4,22,2.4,Rest of India
Uttarakhand,Uttarkashi,69,869,53.6,2.5,73.8,60.2,42.3,2.7,1.3,1.9,11.7,0.5,7.7,3.9,34.2,51.5,99.6,72,85.9,34.1,10.6,23.5,2.7,Rest of India
West Bengal,Bankura,68.7,1002,27.9,0.4,56.7,51.9,26.6,0,1.4,19.8,3.7,0,12,4.7,12.4,43.6,99.5,67.2,93.3,30.3,26,38.8,1.9,Rest of India
West Bengal,Birbhum,73.6,934,25.8,0.6,82.2,73.9,41.3,0.2,1.6,24.7,5.6,0.3,4.8,2.7,21.6,48.1,98.7,67.5,90.3,37,25.5,41.8,3.4,Rest of India
West Bengal,Dakshin Dinajpur,77.7,1067,30.5,0,78.6,59,26.6,0.1,3.3,17.6,9.9,1,6.1,2.6,16,68.3,99.6,83.2,91.4,31.9,22.8,30.2,3.9,Rest of India
West Bengal,Darjeeling,78.3,1059,41.3,1.1,82.2,67,32.6,0,2.2,19.5,8.8,1.4,5.9,2.7,11.8,49.2,96.8,73.9,98.4,34.3,20.6,31.6,8.2,Rest of India
West Bengal,Haora,82,1062,40.1,0,84.5,68.4,31.6,0,1.9,23.8,9.5,0.4,3.2,1.6,20.5,56.6,96.5,70.7,95.5,27.5,21.3,27.3,4.6,Rest of India
West Bengal,Hugli,81,1025,37,0,74.9,61.3,36,0.3,1.7,13.6,7.8,0.5,7,2.5,13.3,59.7,98.6,56.7,97,28.9,20,33.4,5.2,Rest of India
West Bengal,Jalpaiguri,73.7,1099,33.9,0,82.7,70.1,35.5,0.3,4.6,20.2,7.6,1,4,1.6,15.1,61.1,100,74.8,95.8,28.9,18.3,25.4,5.5,Rest of India
West Bengal,Koch Bihar,75.7,959,26.7,0,81.7,67.7,31.9,0.3,2.1,24,6.4,0.8,4.6,2.3,18.3,49.7,99.6,71.9,93,28.7,16.8,22.5,2.3,Rest of India
West Bengal,Kolkata,87.2,809,55.4,0.7,84.7,71.7,29.8,0,1.6,22.4,15,0.7,2.2,0.3,17.9,57,94.4,72.8,97.5,29.6,29.3,32.9,6,Rest of India
West Bengal,Maldah,71.3,942,30,0.8,75.3,54.7,23.3,0,2.5,19.2,8.2,0.3,9.2,3.4,18.9,46.5,99.7,61.6,87.7,40.5,20,35.3,3.3,Rest of India
West Bengal,Murshidabad,74.7,1054,24.2,2.8,85.4,64.9,39.6,0.1,1,14.5,7.6,0.3,3.5,1.8,6.4,60.9,97.3,49.8,87,39.8,16.3,32.4,3.6,Rest of India
West Bengal,Nadia,77.6,982,28.3,0,59.9,49.3,26.8,0,3.8,10.5,6.9,0.9,12.9,5.9,20.9,61.6,98.4,89.4,97.7,26.1,17.6,25.1,3,Rest of India
West Bengal,North Twenty Four Parganas,82.4,889,40.7,0,78.8,61,22.2,0,3.7,24.3,8.8,1.8,4.4,1.5,21.9,66.5,98.7,87.8,97.5,32.4,13.3,23.6,6.5,Rest of India
West Bengal,Paschim Barddhaman,74.8,787,37.1,2.1,65.3,54,28.2,0,2.1,13.4,8.8,0.1,12,3.6,13.7,25.8,95.5,64.1,89.8,39.7,25.5,41,3.1,Rest of India
West Bengal,Paschim Medinipur,72.1,1005,26.2,0.4,60.7,55.6,32.1,0.4,1.4,18,3.1,0.5,11.5,5.7,23.5,49.3,99.1,79.7,87.6,31.1,30.3,40,1.7,Rest of India
West Bengal,Purba Barddhaman,71.2,877,27.3,0,67.9,58.5,37.2,0,0.8,15.9,3.8,0.3,8.6,3.9,16,36,100,65.2,96,32.7,21.1,31.6,3,Rest of India
West Bengal,Purba Medinipur,83,777,30.9,0,59.3,48.1,16.4,0,1.2,26.2,3.5,0.1,12.3,4.1,20.6,50,98.8,48.5,91.5,25.8,15.5,30.6,3.1,Rest of India
West Bengal,Puruliya,63.6,860,26.9,0.9,51,41.3,26.5,0.1,2.4,6.7,4,0.5,16.1,6.3,21.2,30.7,98,51.5,89.8,36.9,29.4,46.3,1,Rest of India
West Bengal,South Twenty Four Parganas,80.9,1099,34.9,0,82.9,67.9,21.9,0.1,2.8,34.8,5.4,1.1,3.7,1.7,17.7,54.5,98.6,67,91,36.7,21.2,32.2,7,Rest of India
West Bengal,Uttar Dinajpur,68.1,1155,29.3,1.8,81.2,60.9,25.9,0.1,1.5,20.7,9.5,1.4,4.4,3.3,10.3,50.6,97.8,60.9,76.9,44.8,16,32,7.1,Rest of India
